Run Name,Waste Result,Waste Reduction,Proposed Waste,Previous Waste,Reagent Result,Reagent Reduction,Proposed Reagents,Previous Reagents
run_35,WIN,2.0,2.0,4.0,WIN,2,11,13
run_48,WIN,2.0,2.0,4.0,WIN,2,11,13
run_6,WIN,2.0,0.0,2.0,WIN,2,9,11
run_23,WIN,1.0,1.0,2.0,WIN,1,10,11
run_31,WIN,1.0,2.0,3.0,WIN,1,11,12
run_33,WIN,1.0,2.0,3.0,WIN,1,11,12
run_37,WIN,1.0,2.0,3.0,WIN,1,11,12
run_40,WIN,1.0,2.0,3.0,WIN,1,11,12
run_41,WIN,1.0,2.0,3.0,WIN,1,11,12
run_45,WIN,1.0,2.0,3.0,WIN,1,11,12
run_46,WIN,1.0,2.0,3.0,WIN,1,11,12
run_50,DRAW,0.0,1.0,1.0,WIN,1,10,11
run_1,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_10,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_11,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_12,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_13,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_14,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_15,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_16,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_17,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_18,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_19,DRAW,0.0,0.0,0.0,DRAW,0,9,9
run_2,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_20,DRAW,0.0,3.0,3.0,DRAW,0,12,12
run_21,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_22,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_24,DRAW,0.0,3.0,3.0,DRAW,0,12,12
run_25,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_26,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_27,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_28,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_29,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_3,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_30,DRAW,0.0,3.0,3.0,DRAW,0,12,12
run_32,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_34,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_36,DRAW,0.0,1.0,1.0,DRAW,0,10,10
run_38,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_39,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_4,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_42,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_43,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_44,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_47,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_49,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_5,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_7,DRAW,0.0,3.0,3.0,DRAW,0,12,12
run_8,DRAW,0.0,2.0,2.0,DRAW,0,11,11
run_9,DRAW,0.0,2.0,2.0,DRAW,0,11,11
