Run Name,Waste Result,Waste Reduction,Proposed Waste,Previous Waste,Reagent Result,Reagent Reduction,Proposed Reagents,Previous Reagents
run_26,WIN,3.0,0.0,3.0,WIN,3,12,15
run_14,WIN,2.0,2.0,4.0,WIN,2,14,16
run_16,WIN,2.0,1.0,3.0,WIN,2,13,15
run_20,WIN,2.0,2.0,4.0,WIN,2,14,16
run_23,WIN,2.0,1.0,3.0,WIN,2,13,15
run_24,WIN,2.0,1.0,3.0,WIN,2,13,15
run_4,WIN,2.0,2.0,4.0,WIN,2,14,16
run_11,WIN,1.0,2.0,3.0,WIN,1,14,15
run_15,WIN,1.0,3.0,4.0,WIN,1,15,16
run_19,WIN,1.0,2.0,3.0,WIN,1,14,15
run_2,WIN,1.0,3.0,4.0,WIN,1,15,16
run_32,WIN,1.0,3.0,4.0,WIN,1,15,16
run_33,WIN,1.0,2.0,3.0,WIN,1,14,15
run_34,WIN,1.0,3.0,4.0,WIN,1,15,16
run_39,WIN,1.0,1.0,2.0,WIN,1,13,14
run_43,WIN,1.0,3.0,4.0,WIN,1,15,16
run_45,WIN,1.0,4.0,5.0,WIN,1,16,17
run_47,WIN,1.0,2.0,3.0,WIN,1,14,15
run_5,WIN,1.0,2.0,3.0,WIN,1,14,15
run_7,WIN,1.0,2.0,3.0,WIN,1,14,15
run_50,WIN,1.0,1.0,2.0,DRAW,0,14,14
run_1,DRAW,0.0,4.0,4.0,DRAW,0,16,16
run_10,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_12,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_13,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_17,DRAW,0.0,4.0,4.0,DRAW,0,16,16
run_18,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_21,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_22,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_25,DRAW,0.0,4.0,4.0,DRAW,0,16,16
run_27,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_28,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_29,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_3,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_30,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_31,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_35,DRAW,0.0,4.0,4.0,DRAW,0,16,16
run_36,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_37,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_38,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_40,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_41,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_42,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_44,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_46,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_48,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_49,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_6,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_8,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_9,DRAW,0.0,2.0,2.0,DRAW,0,14,14
