Run Name,Waste Result,Waste Reduction,Proposed Waste,Previous Waste,Reagent Result,Reagent Reduction,Proposed Reagents,Previous Reagents
run_13,WIN,2.0,1.0,3.0,WIN,2,13,15
run_48,WIN,2.0,2.0,4.0,WIN,2,14,16
run_1,WIN,1.0,1.0,2.0,WIN,1,13,14
run_17,WIN,1.0,1.0,2.0,WIN,1,13,14
run_19,WIN,1.0,1.0,2.0,WIN,1,13,14
run_25,WIN,1.0,1.0,2.0,WIN,1,13,14
run_31,WIN,1.0,2.0,3.0,WIN,1,14,15
run_32,WIN,1.0,1.0,2.0,WIN,1,13,14
run_33,WIN,1.0,3.0,4.0,WIN,1,15,16
run_36,WIN,1.0,2.0,3.0,WIN,1,14,15
run_4,WIN,1.0,1.0,2.0,WIN,1,13,14
run_5,WIN,1.0,1.0,2.0,WIN,1,13,14
run_6,WIN,1.0,1.0,2.0,WIN,1,13,14
run_8,WIN,1.0,1.0,2.0,WIN,1,13,14
run_10,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_11,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_12,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_14,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_15,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_16,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_18,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_2,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_20,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_21,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_22,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_23,DRAW,0.0,0.0,0.0,DRAW,0,12,12
run_24,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_26,DRAW,0.0,4.0,4.0,DRAW,0,16,16
run_27,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_28,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_29,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_3,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_30,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_34,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_35,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_37,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_38,DRAW,0.0,3.0,3.0,DRAW,0,15,15
run_39,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_40,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_41,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_42,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_43,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_44,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_45,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_46,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_47,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_49,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_50,DRAW,0.0,1.0,1.0,DRAW,0,13,13
run_7,DRAW,0.0,2.0,2.0,DRAW,0,14,14
run_9,DRAW,0.0,1.0,1.0,DRAW,0,13,13
